identifier,comment,code
R_2uIYMUOPADUs0Gp,Automation,Original comment
R_3EVTcFVWkcADmAn,No,Original comment
R_1Fb4cMbBLCr1Mps,"perhaps, but I cannot think of one at the moment",Original comment
R_1zRNqaef0umL2QF,More explicit recognition of value of error analysis in review forms,Original comment
R_1OxiIuva6OIySjr,"Having it as a requirement. Or ideally making it more common, as a practice that is considered valuable, and then researchers would be inclined to do it not bc of a requirement.  ",Original comment
R_9FWWZPFa03RKtDb,"More money for research, and easier to higher short-term staff.",Original comment
R_2viGZF9YUjaTxAZ,"No, on balance I think it's something that should be done when presenting a paper or a conference talk.",Original comment
R_3CClKJCQVTV5fKQ,More acceptance of error analysis in the NLP community. ,Original comment
R_8AMlQcW7cB0S0lH,Time and resources (to support the activity ),Original comment
R_1DAuvy72fx3Y9px,"This is mostly a problem with research culture, when this (error analyses) becomes normal resources will be produced to fulfil the need for resources.",Original comment
R_1msf0KMkf86xvU7,More money,Original comment
R_1Owpizm5kuD60On,A thorough task specific taxonomy which easily helps immediately attribute errors found in a certain bucket and also helpful since anything not belonging to the buckets is important and worthy to look at ,Original comment
R_2at4iBHFbZ9qXF9,"money dedicated for persons doing the analyses, and also money for instructing them clearly in order to get comparable results",Original comment
R_3dS2PTlM6FW2INE,Having more experience with carrying it out would limit the amount of time necessary to set one up.,Original comment
R_u3vQ66FYA58WEnL,"The major factor is that researchers must be acutely aware of the importance of error analysis for research, and for industrial/market applications.. ",Original comment
R_2c0i363Fh3IQN3w,"Certainly, if my paper, concentrating on a very small, yet precise fragment, would have the same probability of acceptance of a paper that uses ML on a broad, yet very unprecise linguistic boundaries.",Original comment
