identifier,comment,code
R_3EVTcFVWkcADmAn,It's make my NLG system more accurate.,Original comment
R_3EVTcFVWkcADmAn,It's make my NLG system more accurate.,Culture_change
R_1Fb4cMbBLCr1Mps,Based on assumption that the conference is NOT ACL or similiar top-tier venue!,Original comment
R_1zRNqaef0umL2QF,"More space, less deadline pressure",Original comment
R_1zRNqaef0umL2QF,More space,Space
R_1zRNqaef0umL2QF,less deadline pressure,Time
R_2Bx0flTszYdxDPA,The difference would be the depth of the analysis but heading something remains Important in both cases,Original comment
R_2Bx0flTszYdxDPA,difference the depth of the analysis,Difference
R_2Bx0flTszYdxDPA,The difference would be the depth of the analysis but heading something remains Important in both cases,Both
R_tK6Arub4LFxhMTT,The quality of my work should not differ by the venue,Original comment
R_tK6Arub4LFxhMTT,The quality of my work should not differ by the venue,Both
R_tK6Arub4LFxhMTT,quality,"Quality, Both"
R_1OxiIuva6OIySjr,"I think it should be a norm, similar to reporducibility, at both venues.",Original comment
R_1OxiIuva6OIySjr,"it should be a norm, both venues",Norm
R_1OxiIuva6OIySjr,"it should be a norm, both venues",Both
R_9FWWZPFa03RKtDb,There are more space and higher expectations.,Original comment
R_9FWWZPFa03RKtDb,more space,Space
R_9FWWZPFa03RKtDb,higher expectations,Demands
R_2viGZF9YUjaTxAZ,"Having discovered that error analysis is a thing, if I were in the position of writing a paper or presenting at a conference, I would almost certainly include an error analysis.",Original comment
R_3CClKJCQVTV5fKQ,"Higher page limit, more time to publish, more quality and higher demands in journal articles ",Original comment
R_3CClKJCQVTV5fKQ,"Higher page limit, more time to publish, more quality and higher demands in journal articles ",Journal
R_3CClKJCQVTV5fKQ,Higher page limit,"Space, Journal"
R_3CClKJCQVTV5fKQ,more time to publish,"Time, Journal"
R_3CClKJCQVTV5fKQ,more quality,"Quality, Journal"
R_3CClKJCQVTV5fKQ,higher demands,"Demands, Journal"
R_3PUctIwcmDJt5t4,Journal article usually offer a higher page limit.,Original comment
R_3PUctIwcmDJt5t4,higher page limit,Space
R_8AMlQcW7cB0S0lH,"I think for long papers it is essential and I would expect this any ACL endorsed conference.
Also I think there is an overeliance on metric based evaluations without any clear understanding of there strengths and weakness(BLEU)  and a general decline to provide any linguistic analysis of outputs. I fear the focus on deep learning approaches has resulted in a decline of computational linguistic skills in postgraduate researchers (with solely an ML training) and nor  are such research evaluation encouraged.  In some cases they don't have the linguistic skills.",Original comment
R_1DAuvy72fx3Y9px,"More space and time involved in a journal publication, means it is more likely to have an error analysis.",Original comment
R_1DAuvy72fx3Y9px,More space,"Space, Journal"
R_1DAuvy72fx3Y9px,More  time ,"Time, Journal"
R_1DAuvy72fx3Y9px,"More space and time involved in a journal publication, means it is more likely to have an error analysis.",Journal
R_3PmNb56WDtzFl00,Error analyses should be included in both conf and journal papers,Original comment
R_3PmNb56WDtzFl00,Error analyses should be included in both conf and journal papers,Both
