identifier,comment,code
comment-000,Thanks 
comment-001,No
comment-002,no
comment-003,Talk to PCs about review forms
comment-004,"No.  Thank you for introducing me to the concept of error analysis.  In at least some small way, I will probably take this concept and use it in our work."
comment-005,"I didn't know much on error analysis before answering the questionnaire, hence, I couldn't rate the amountzof existing error analysis tools. I would have liked to have a ""I don't know"" field for the Likert scale questions. "
comment-006,This is an important study
comment-007,Thanks for carrying out this survey. Looking forward to the results and the recommendations.
comment-008,thanks for doing such study
comment-009,"Error analysis should focus on language features, text genre characteristics and  adequacy to the task, not a mere statistical analysis."
comment-010,"Thank you, it was a quite good survey. "
comment-011,I think the study of NLG errors should also take into account the structure of the sentence and it is important the study is human based.
